Store Number,Store Name,Address,City
6795-71922,Hammer & West - Stockton,1440 East Hammer Lane Stockton CA,Stockton
79643-114724,Safeway - Stockton #1769,2808 Country Club Dr Stockton CA,Stockton
76158-92528,Target North Stockton T-1862,10424 Trinity Pkwy Stockton CA,Stockton
8979-86211,March & I-5 - Stockton,"2866 W. March Lane, Stockton Cineplex Stockton CA",Stockton
6970-87669,El Dorado & Channel - Stockton,"222 North El Dorado Street, 1 Stockton CA",Stockton
24424-237885,Thornton & Hammer,7810 Thornton Road Stockton CA,Stockton
29754-254253,Target - Stockton T-313,"4707 Pacific Ave, Morada Ranch Stockton CA",Stockton
10719-99626,Morada Lane & Hwy 99 - Stockton,4103 E. Morada Lane Stockton CA,Stockton
9287-93608,Eight Mile & I-5 - Stockton,10602 Trinity Parkway Stockton CA,Stockton
20685-200251,I-5 & Benjamin Holt,3011 West Benjamin Holt Stockton CA,Stockton
5447-1377,Ventura & Alcove,12824 Ventura Blvd. Studio City CA,Studio City
74702-97967,Vons-Studio City #1674,"4033 Laurel Canyon Blvd, Studio Plaza Studio City CA",Studio City
5734-8710,Ventura  Vineland,10965 Ventura Blvd Studio City CA,Studio City
573-295,Ventura & Vantage,"12170 Ventura Blvd, Sunset Center Studio City CA",Studio City
8728-73248,Sunset & Merganser - Suisun City,"193 Sunset Ave, Suite A Suisun City CA",Suisun City
6915-197405,8241 Foothill Blvd.,"8241 Foothill Blvd., Cherry Orchard Center Sunland CA",Sunland
5981-38499,El Camino & Mathilda,332 W. El Camino Real Sunnyvale CA,Sunnyvale
7021-148965,Target Sunnyvale T-2584,298 W McKinley Ave Sunnyvale CA,Sunnyvale
2885-73085,Mathilda & Maude - Sunnyvale,460 N Mathilda Avenue Sunnyvale CA,Sunnyvale
27172-155164,Safeway-Sunnyvale #2887,762 Sunnyvale Saratoga Rd Sunnyvale CA,Sunnyvale
539-483,El Camino & Maria,795 East El Camino Real Sunnyvale CA,Sunnyvale
74857-73705,Safeway - Sunnyvale #1439,785 E. El Camino Real Sunnyvale CA,Sunnyvale
5618-1888,Fremont & Mary - Sunnyvale,1291 South Mary Sunnyvale CA,Sunnyvale
8856-95212,Mary & Washington,"201 S. Mary Avenue, Unit #1 Sunnyvale CA",Sunnyvale
74856-73694,Safeway - Sunnyvale #1196,639 Bernardo Ave Sunnyvale CA,Sunnyvale
13603-108434,El Camino Real & Poplar,1003 E. El Camino Real Sunnyvale CA,Sunnyvale
25394-240832,Washington & Frances,231 West Washington Sunnyvale CA,Sunnyvale
79730-124264,Safeway-Susanville #1218,2970 Main St Susanville CA,Susanville
8114-95791,Main & Riverside - Susanville,2980 Main Street Susanville CA,Susanville
25059-221464,Foothill & Hubbard,13686 Foothill Blvd Sylmar CA,Sylmar
17123-178486,Albertsons-Taft #6382,"1044 W Kern St, The Village Walk Taft CA",Taft
9074-139228,Ventura & Yolanda,"18700 Ventura Blvd., #120 Tarzana CA",Tarzana
11779-106400,Ventura Blvd & Shirley,19439 Ventura Blvd Tarzana CA,Tarzana
74625-94036,Vons-Tarzana #2066,18439 Ventura Blvd Tarzana CA,Tarzana
29356-237360,Albertsons - Tehachapi #6347,775 Tucker Rd Tehachapi CA,Tehachapi
8726-94570,"Tehachapi & Tucker, Tehachapi","300 S. Tucker Road, #A, Creekside Plaza Tehachapi CA",Tehachapi
8908-95240,"Hwy 79 & Pechanga, Temecula","30571 Highway 79 S, A Temecula CA",Temecula
14486-119046,"Winchester & Nicholas, Temecula","39848 Winchester Road, #A Temecula CA",Temecula
10145-98467,"Promenade In Temecula, Temecula","40820 Winchester Road, 2470 Temecula CA",Temecula
7927-95613,"Rancho California & Ynez, Temecula","29588 Rancho California Road, Promenade Temecula CA",Temecula
28628-249965,Teavana - Promenade,"40756 Winchester Rd., #260, Meadows Village Temecula CA",Temecula
10188-99477,Rancho California & Meadows,"31867 Rancho California Rd., 100 Temecula CA",Temecula
73500-69560,Albertsons-Temecula #6753,31960 Hwy 79 Temecula CA,Temecula
73560-79487,Albertsons-Temecula #6706,30530 Rancho California Rd Temecula CA,Temecula
5695-217005,Winchester & Ynez,41195 Winchester Road Temecula CA,Temecula
48888-245644,Ralphs Temecula #686,33145 Temecula Parkway Temecula CA,Temecula
9902-98297,"Old Town Front & 6th, Temecula",28459 Old Town Front Street Temecula CA,Temecula
5884-33439,"Hwy 79 & Meadows Pkwy, Temecula","32240 Highway 79 South, 109 Temecula CA",Temecula
5949-249209,Jefferson & Overland,"27375 Jefferson Ave, Temple City Square Temecula CA",Temecula
6746-77940,"Las Tunas & Rosemead, Temple City",5705 Rosemead Blvd Temple City CA,Temple City
5628-197744,Lindero Canyon & Kanan Rd,688 Lindero Canyon Thousand Oaks CA,Thousand Oaks
8746-94662,"Janss & Moorpark, Thousand Oaks","605 E. Janss Road, B Thousand Oaks CA",Thousand Oaks
74939-99028,Vons - Thousand Oaks #1610,1790 N Moorpark Rd Thousand Oaks CA,Thousand Oaks
74123-25647,Vons-Thousand Oaks #2092,2048 Avenida De Los Arboles Thousand Oaks CA,Thousand Oaks
17656-175784,Thousand Oaks & Rancho,1195 East Thousand Oaks Blvd. Thousand Oaks CA,Thousand Oaks
76897-131630,Target Thousand Oaks T-1100,2705 Teller Rd Thousand Oaks CA,Thousand Oaks
19684-200324,The Oaks Mall,"350 West Hillcrest Drive, CL121 Thousand Oaks CA",Thousand Oaks
22799-210125,California Lutheran University/Thou,"60 W Olsen Rd, The Oaks Thousand Oaks CA",Thousand Oaks
28593-249827,Teavana - The Oaks,224 W. HILLCREST DRIVE THOUSAND OAKS CA,THOUSAND OAKS
5445-863,Westlake & Thousand Oaks,"111 S. Westlake Blvd., #B-4 Thousand Oaks CA",Thousand Oaks
5492-1614,Avenida de Los Arboles & Erbes Rd,"2072 E Avenida De Los Arboles, Suite C Thousand Oaks CA",Thousand Oaks
8785-238824,Hillcrest & Ventu Park,540 North Ventu Park Rd Thousand Oaks CA,Thousand Oaks
5830-159944,Wendy & Grande Vista,"975 Broadbeck Dr., Newbury Park Gateway Thousand Oaks CA",Thousand Oaks
9790-98069,"Newbury & Kelly, Newbury Park","1940 Newbury Road, 500 Thousand Oaks CA",Thousand Oaks
5219-423,Moorpark & Hillcrest,"33 N. Moorpark Road, Suite 'E', North Torrance Shopping Center Thousand Oaks CA",Thousand Oaks
5720-5663,190th & Anza,5050 190th Street Torrance CA,Torrance
5651-1915,190th & Normandie,"1450 190th Street, Suite F Torrance CA",Torrance
5246-316,Pacific Plaza (PCH/Calle Mayor),5005 Pacific Coast Highway Torrance CA,Torrance
75867-86520,Marriott Torrance,3635 Fashion Way Torrance CA,Torrance
524-468,Torrance Crossroads,"24427 Crenshaw, Suite F, Triangle Center Torrance CA",Torrance
6687-69960,"Artesia & Prairie, Torrance",3931 W. Artesia Blvd. Torrance CA,Torrance
74511-25707,Vons-Torrance #3517,"24325 Crenshaw Blvd., Torrance Gateway Torrance CA",Torrance
6856-82370,"Carson & Normandie, Torrance",1171 W. Carson Street Torrance CA,Torrance
656-219067,Del Amo FashCtr-Level 2/Macys Court,"21713 Carson St., VC11 Torrance CA",Torrance
5714-7927,Torrance & Hawthorne,"21209-A Hawthorne Blvd, Unit 107-42, Del Amo Fashion Center Torrance CA",Torrance
28238-250164,Teavana - Del Amo Fashion Center,"3525 W. Carson St., Rm. 229A Torrance CA",Torrance
6802-81661,"Sepulveda & Anza, Torrance","4437 Sepulveda Bl., Torrance Star Plaza Torrance CA",Torrance
6656-71400,"Crenshaw & Sepulveda, Torrance","2370 Crenshaw Blvd, Suite A Torrance CA",Torrance
5551-1764,Pacific Coast Hwy. & Hawthorne,"3737 Pacific Coast Highway, Del Amo Shopping Center Torrance CA",Torrance
10819-102571,Del Amo Fashion Center,"3525 Carson Street, Suite 78, Westgate Shopping Center Torrance CA",Torrance
5859-27698,"Hawthorne & Artesia, Torrance",17400 Hawthorne Boulevard Torrance CA,Torrance
29628-254251,Target Torrance T-0200,"3433 Sepulveda Blvd, Rolling Hills Plaza Torrance CA",Torrance
6849-79123,"Crenshaw & Airport, Torrance","25348 Crenshaw Blvd., Corral Hollow Shopping Center Torrance CA",Torrance
5875-30419,11th & Corral Hollow - Tracy,"1857 W. 11th Street, Home Depot Center Tracy Tracy CA",Tracy
6730-77182,Hwy 205 & Grant Line - Tracy,2459 North Naglee Road Tracy CA,Tracy
76367-97088,Target Tracy T-738,2800 Naglee Road Tracy CA,Tracy
74327-79060,Safeway-Tracy #2600,1801 West 11th St Tracy CA,Tracy
8981-95207,Tracy & Clover - Tracy,569 Clover Road Tracy CA,Tracy
15641-151226,Tracy Blvd & Valpico - Tracy,"2610 S. Tracy Blvd., Suite 150 Tracy CA",Tracy
75409-102324,Travis AFB BX,"461 Skymaster Circle, Gateway at Donner Pass Travis AFB CA",Travis AFB
5228-374,Frates Ln & Donner Pass Rd-Truckee,11260-4 Donner Pass Road Truckee CA,Truckee
75864-98266,Vail Resorts @ Northstar,100 Northstar Dr Truckee CA,Truckee
79651-115127,Safeway - Truckee #1266,11290 Donner Pass Rd Truckee CA,Truckee
74887-99591,Vons - Tujunga #2124,7789 Foothill Blvd Tujunga CA,Tujunga
47590-258972,Albertsons - Tujunga #3175,"6240 Foothill Blvd, Monte Vista Shopping Center Tujunga CA",Tujunga
6743-78586,"Prosperity & Hillman, Tulare",1089 E. Prosperity Avenue Tulare CA,Tulare
76813-111365,Super Target Tulare ST-2349,2195 E Prosperity Ave Tulare CA,Tulare
11470-105119,Monte Vista & Hwy 99,3220 Countryside Drive Turlock CA,Turlock
8643-84961,Lander & Linwood - Turlock,"1611 Lander Avenue, Turlock Cinema Center Turlock CA",Turlock
11242-103576,Main & Hwy 99 - Turlock,"2201 West Main Street, The Village Corner Shopping Center Turlock CA",Turlock
9867-98125,Johnson & Canal - Turlock,2012 E Canal Drive Turlock CA,Turlock
6928-87651,Geer & Hedstrom - Turlock,"3000 Geer Road, Monte Vista Crossings Turlock CA",Turlock
5891-33499,Monte Vista & Countryside,2870 West Monte Vista Ave Turlock CA,Turlock
79703-125804,Safeway - Turlock #1968,3051 Countryside Dr Turlock CA,Turlock
76729-97571,Target Irvine/Tustin T-2151,2340 Park Ave Tustin CA,Tustin
29895-254545,Albertsons #6574 @ Tustin,13270 Newport Avenue Tustin CA,Tustin
6475-60801,Redhill & El Camino Real,"1450 El Camino Real, A Tustin CA",Tustin
20537-206365,Edinger & 55 Fwy,15071 Newport Avenue Tustin CA,Tustin
552-494,Newport & Bryan,"552 E First Street, The Market Place Tustin CA",Tustin
11028-87826,Tustin Marketplace,2959 El Camino Real Tustin CA,Tustin
9256-95342,Red Hill & Edinger,"1631 Edinger Avenue, 101 Tustin CA",Tustin
21925-156786,"Ralph's-Tustin Ranch, CA #139",13321 Jamboree Rd Tustin CA,Tustin
5506-746,17th & Yorba Street,17245 17th Street Tustin CA,Tustin
15782-152241,MCCS @ Twentynine Palms,MCCS Contracting Bldg 1533 Twentynine Palms CA,Twentynine Palms
9260-75007,E. Perkins & Hwy 101 - Ukiah,"704 E. Perkins Street, Ukiah Plaza Retail Center Ukiah CA",Ukiah
11602-104087,Airport Park & Commerce,"1212 Airport Park Blvd., 100, Safeway - Ukiah #1583 Ukiah CA",Ukiah
74858-99550,Safeway - Ukiah #1583,"653 S State St, Union Landing Ukiah CA",Ukiah
5653-2444,Union Landing,"32240 Dyer Street, Union Square Marketplace Union City CA",Union City
5887-27867,DeCoto & Alvarado-Niles,1752 DeCoto Road Union City CA,Union City
74927-101840,Safeway - Union City #1197,1790 Decoto Rd Union City CA,Union City
11167-95963,Alvarado & Dyer,32340 Alvarado Blvd Union City CA,Union City
13231-105926,Mission & Tamarack,"33115 Mission Boulevard, A Union City CA",Union City
27774-238927,Universal Studios Hollywood - Upper,100 Universal City Plaza Universal City CA,Universal City
23352-223786,Universal Studios Hollywood Studio,100 Universal City Plaza Universal City CA,Universal City
75557-71180,Universal City Walk,"100 Universal City Plaza, Upland Convenience Center Universal City CA",Universal City
6428-39980,Foothill & Mullberry,"1013 W. Foothill Blvd., A Upland CA",Upland
49572-267936,Albertsons -Upland #599,1910 N. Campus Ave Upland CA,Upland
74589-83729,Vons-Upland #2681,81 West Foothill Blvd Upland CA,Upland
8858-94195,Campus & 19th,"1943 North Campus Avenue, #D Upland CA",Upland
76304-90543,Target Upland T-1834,1931 N Campus Ave Upland CA,Upland
76128-88892,Target Vacaville T-827,3000 Harbison Dr Vacaville CA,Vacaville
22824-210105,Vacaville Premium - East Plaza,"390 Nut Tree Road, KI 01 Vacaville CA",Vacaville
5690-3200,Davis & Stevenson - Vacaville,"505 Davis St, Ste D Vacaville CA",Vacaville
22255-218825,Nut Tree,"1630 East Monte Vista, Unit 101 Vacaville CA",Vacaville
74455-83284,Safeway-Vacaville #1109,2090 Harbison Dr Vacaville CA,Vacaville
49318-268204,Nut Tree and Elmira,661 Elmira Road Vacaville CA,Vacaville
22947-151104,Leisure Town & Orange - Vacavile,"1110 Leisure Town Road, 10 Vacaville CA",Vacaville
6457-61519,Alamo & Butcher - Vacaville,"970 Alamo Drive, Vacaville Retail Center Vacaville CA",Vacaville
9821-94574,Peabody & Hume - Vacaville,210 Peabody Road Vacaville CA,Vacaville
5305-457,McBean & Decoro,"27748 West McBean Parkway, Suite A-6 Valencia CA",Valencia
28305-249857,Teavana - Valencia Town Center,"24201 West Valencia Blvd., #2760 Valencia CA",Valencia
76363-97160,Target Valencia T-257,24425 W. Magic Mountain Pkwy Valencia CA,Valencia
26825-235454,Urban Home @ Valencia Town Center,24251 Town Center Dr Valencia CA,Valencia
74506-25650,Vons-Valencia #2030,"25850 N. The Old Road, Tourney Retail Plaza Valencia CA",Valencia
9871-98346,Magic Mountain & Tourney,25349 Wayne Mills Place Valencia CA,Valencia
6902-85300,The Old Road & Rye Canyon,28120 The Old Road Valencia CA,Valencia
74932-101857,Safeway - Vallejo #1631,"122 Robies Way, Target Center, Vallejo Vallejo CA",Vallejo
5926-30619,I-80 & Admiral Callaghan - Vallejo,966 Admiral Callaghan Vallejo CA,Vallejo
23719-232504,Target Vallejo T-331,904 Admiral Callaghan Ln Vallejo CA,Vallejo
74978-101844,Safeway - Vallejo #989,"774 Admiral Callaghan, Vallejo Convenience Center Vallejo CA",Vallejo
